human,rat
GLMP,GLMP
KRT71,KRT71
FDX2,FDX2
HOGA1,HOGA1
WDR89,WDR89
L3HYPDH,L3HYPDH
SGF29,SGF29
PHF21B,PHF21B
VPS26B,VPS26B
NACC1,NACC1
CFAP36,CFAP36
KTI12,KTI12
RPUSD1,RPUSD1
PLCD3,PLCD3
PTH2,PTH2
MTFR2,MTFR2
CDCA5,CDCA5
AHNAK2,AHNAK2
SAAL1,SAAL1
IZUMO4,IZUMO4
SCAMP4,SCAMP4
ADAT3,ADAT3
CHST14,CHST14
GOLM2,GOLM2
KIF12,KIF12
MISP3,MISP3
SLC46A1,SLC46A1
C12ORF57,GRCC10
LARP4,LARP4
GLCCI1,GLCCI1
TMEM106A,TMEM106A
SLC52A3,SLC52A3
SFT2D1,SFT2D1
TEX261,TEX261
SMIM12,SMIM12
AZIN2,AZIN2
TMEM54,TMEM54
HELQ,HELQ
CYP2U1,CYP2U1
ADPRHL1,ADPRHL1
SLC33A2,SLC33A2
SDSL,SDSL
KLHDC7B,KLHDC7B
CIMAP1A,CIMAP1A
PIK3IP1,PIK3IP1
HENMT1,HENMT1
SACK1F,SACK1F
SLC35A4,SLC35A4
DTX2,DTX2
ZIM3,ZIM3
TOE1,TOE1
BUD23,BUD23
TRIM9,TRIM9
TXNRD3,TXNRD3
UCN3,UCN3
SLC2A13,SLC2A13
LACTB,LACTB
EFHC1,EFHC1
NLRP3,NLRP3
MAL2,MAL2
TIRAP,TIRAP
MIR155HG,MIR155HG
ERMAP,ERMAP
CYGB,CYGB
PGLYRP2,PGLYRP2
PGLYRP3,PGLYRP3
PKD1L2,PKD1L2
BTBD9,BTBD9
LMTK3,LMTK3
CSMD2,CSMD2
MBD6,MBD6
XKR4,XKR4
GPRIN1,GPRIN1
CSMD3,CSMD3
SLC25A25,SLC25A25
STK11IP,STK11IP
TUBGCP5,TUBGCP5
KLHL32,KLHL32
FMNL2,FMNL2
ELFN2,ELFN2
TMEM132B,TMEM132B
SLITRK1,SLITRK1
ESCO1,ESCO1
CCDC85A,CCDC85A
TMEM200A,TMEM200A
MYSM1,MYSM1
RNF157,RNF157
GALNT13,GALNT13
SORCS1,SORCS1
KLHL29,KLHL29
RHPN1,RHPN1
LENG8,LENG8
PNMA5,PNMA5
PWWP2A,PWWP2A
SMYD4,SMYD4
FHAD1,FHAD1
SLAMF6,SLAMF6
OSBPL1A,OSBPL1A
OSBPL5,OSBPL5
OSBPL6,OSBPL6
OSBPL7,OSBPL7
OSBPL8,OSBPL8
OSBPL9,OSBPL9
OSBPL10,OSBPL10
OSBPL11,OSBPL11
C1QTNF1,C1QTNF1
C1QTNF2,C1QTNF2
C1QTNF3,C1QTNF3
C1QTNF4,C1QTNF4
C1QTNF5,C1QTNF5
C1QTNF6,C1QTNF6
C1QTNF7,C1QTNF7
FBXO32,FBXO32
TMEM123,TMEM123
SMIM19,SMIM19
GPRASP2,GPRASP2
TSGA13,TSGA13
PTPMT1,PTPMT1
FLYWCH2,FLYWCH2
WDR31,WDR31
VASN,VASN
ZNF618,ZFP618
CGAS,CGAS
SLC26A9,SLC26A9
NT5C3B,NT5C3B
CCDC124,CCDC124
HAUS1,HAUS1
SLC26A7,SLC26A7
MARCHF3,MARCHF3
ATG4A,ATG4A
KCTD12,KCTD12
OMA1,OMA1
DDIT4L,DDIT4L
RAB42,RAB42
SLC25A26,SLC25A26
FBXO17,FBXO17
PCMTD1,PCMTD1
GPR146,GPR146
FCRL1,FCRL1
LRRC42,LRRC42
GBP5,GBP5
LRRC56,LRRC56
MALSU1,MALSU1
UHRF2,UHRF2
ZNF689,ZFP689
FCHO2,FCHO2
ARHGEF25,ARHGEF25
TENT5B,TENT5B
SLC5A11,SLC5A11
TNFRSF13C,TNFRSF13C
NOSTRIN,NOSTRIN
ALPK2,ALPK2
ARHGAP33,ARHGAP33
EVI5L,EVI5L
TRMT61A,TRMT61A
RASGRP4,RASGRP4
C12ORF56,C7H12ORF56
DIS3L,DIS3L
ARL11,ARL11
FANCD2OS,FANCD2OS
DRC10,DRC10
DHRS1,DHRS1
WDFY2,WDFY2
RAB3C,RAB3C
NXNL1,NXNL1
CTHRC1,CTHRC1
TSR3,TSR3
ODAD3,ODAD3
ZNF653,ZFP653
RNF166,RNF166
RMI2,RMI2
OSR2,OSR2
LRRC58,LRRC58
LYSMD3,LYSMD3
BATF2,BATF2
SLC22A12,SLC22A12
DNTTIP1,DNTTIP1
FOXP4,FOXP4
ZNF526,ZFP526
LRRC3B,LRRC3B
KLHDC3,KLHDC3
DNAAF10,DNAAF10
NUS1,NUS1
MIMS2,MIMS2
PHACTR3,PHACTR3
CYYR1,CYYR1
CMTM5,CMTM5
TGM7,TGM7
TM4SF19,TM4SF19
PABIR1,PABIR1
ZMYND19,ZMYND19
COX20,COX20
ABHD15,ABHD15
TLCD1,TLCD1
GINM1,GINM1
MOGAT1,MOGAT1
ACSM1,ACSM1
C8ORF34,C5H8ORF34
PANX3,PANX3
RBP7,RBP7
SLC26A8,SLC26A8
LYPD1,LYPD1
IL22RA2,IL22RA2
GRIN3A,GRIN3A
GRIN3B,GRIN3B
TOP1MT,TOP1MT
OLIG1,OLIG1
CLNK,CLNK
TSEN15,TSEN15
NIBAN1,NIBAN1
MAS1L,MAS1L
MRGPRD,MRGPRD
APOA5,APOA5
MRGPRE,MRGPRE
MRGPRF,MRGPRF
MRPL53,MRPL53
MRPL54,MRPL54
PPP1R27,PPP1R27
HSPA12B,HSPA12B
CNTROB,CNTROB
SNAP47,SNAP47
LEAP2,LEAP2
SLC18B1,SLC18B1
LRG1,LRG1
MED12L,MED12L
WDR17,WDR17
ART5,ART5
ACAP3,ACAP3
ARAP2,ARAP2
ARAP1,ARAP1
AGAP2,AGAP2
AGAP1,AGAP1
AGAP3,AGAP3
TADA1,TADA1
CATSPER1,CATSPER1
THEM4,THEM4
DACH2,DACH2
CATSPER2,CATSPER2
SCGB3A2,SCGB3A2
SH2D1B,SH2D1B
WFIKKN1,WFIKKN1
RAB3IP,RAB3IP
SSX2IP,SSX2IP
MRGPRX2,MRGPRX2
PLAAT5,PLAAT5
FTSJ3,FTSJ3
SLC16A10,SLC16A10
GALNT15,GALNT15
IP6K3,IP6K3
CIB3,CIB3
TAGAP,TAGAP
TMC1,TMC1
TMC2,TMC2
RLN3,RLN3
TWIST2,TWIST2
PARD3B,PARD3B
RFFL,RFFL
ZNF354B,ZNF354B
TRIM6,TRIM6
UBE2J2,UBE2J2
BORCS5,BORCS5
OLFM3,OLFM3
ANTXR2,ANTXR2
GPR62,GPR62
EXOSC6,EXOSC6
C10ORF71,C16H10ORF71
PRAP1,PRAP1
ZNF511,ZFP511
CHCHD1,CHCHD1
MSS51,MSS51
CFAP70,CFAP70
C10ORF90,C1H10ORF90
BTBD16,BTBD16
PSTK,PSTK
ZNF488,ZFP488
PIK3AP1,PIK3AP1
MORN4,MORN4
ZFYVE27,ZFYVE27
MMP21,MMP21
COMTD1,COMTD1
FRA10AC1,FRA10AC1
ANKRD22,ANKRD22
SFXN2,SFXN2
PDZD8,PDZD8
BORCS7,BORCS7
GSTO2,GSTO2
SFR1,SFR1
CALHM3,CALHM3
CLRN3,CLRN3
ANAPC16,ANAPC16
SFXN4,SFXN4
CPXM2,CPXM2
OR52E2,OR52E2
OR51L1,OR51L1
OR51A7,OR51A7
OR51S1,OR51S1
IFTAP,IFTAP
OR52M1,OR52M1
LARGE2,LARGE2
SLC36A4,SLC36A4
FAT3,FAT3
TMEM45B,TMEM45B
CYP2R1,CYP2R1
DBX1,DBX1
POU2AF3,POU2AF3
PIH1D2,PIH1D2
NXPE2,NXPE2
JAML,JAML
DNAJC24,DNAJC24
ARL14EP,ARL14EP
OR8I2,OR8I2
OR52W1,OR52W1
LRRK2,LRRK2
CCDC38,CCDC38
TMEM52B,TMEM52B
FAM186A,FAM186A
NOPCHAP1,NOPCHAP1
SDR9C7,SDR9C7
LRIG3,LRIG3
TMEM132D,TMEM132D
SLC15A4,SLC15A4
RHEBL1,RHEBL1
ZNF641,ZFP641
OR10AD1,OLR1102
TPH2,TPH2
SP7,SP7
GTSF1,GTSF1
NEDD1,NEDD1
IKBIP,IKBIP
ERP27,ERP27
FGD4,FGD4
AEBP2,AEBP2
ASCL4,ASCL4
ABTB3,ABTB3
SPIC,SPIC
ANO4,ANO4
ALKBH2,ALKBH2
FOXN4,FOXN4
SPPL3,SPPL3
TEX29,TEX29
RXFP2,RXFP2
TEX26,TEX26
SLAIN1,SLAIN1
SPACA7,SPACA7
TDRD9,TDRD9
ANKRD9,ANKRD9
AK7,AK7
DORIP1,DORIP1
TRAPPC6B,TRAPPC6B
CLBA1,CLBA1
PLD4,PLD4
ADSS1,ADSS1
RNASE11,RNASE11
TPPP2,TPPP2
MRPL52,MRPL52
PSMB11,PSMB11
LRR1,LRR1
KLHDC1,KLHDC1
FRMD6,FRMD6
SOCS4,SOCS4
NAA30,NAA30
GPHB5,GPHB5
NOXRED1,NOXRED1
JDP2,JDP2
ISCA2,ISCA2
ACOT4,ACOT4
TTC8,TTC8
TC2N,TC2N
SLC24A4,SLC24A4
SLC25A29,SLC25A29
DEGS2,DEGS2
KLHL33,KLHL33
LEO1,LEO1
C15ORF40,C1H15ORF40
SENP8,SENP8
MTFMT,MTFMT
SLC51B,SLC51B
TARS3,TARS3
LRRC28,LRRC28
TMEM266,TMEM266
NIPA1,NIPA1
AGBL1,AGBL1
HYKK,HYKK
WHAMM,WHAMM
FSD2,FSD2
PLA2G4E,PLA2G4E
C16ORF46,C19H16ORF46
NTAN1,NTAN1
CEP20,CEP20
DNAAF1,DNAAF1
DCUN1D3,DCUN1D3
NRN1L,NRN1L
CMTM3,CMTM3
C16ORF78,C19H16ORF78
SPATA2L,SPATA2L
SPATA33,SPATA33
NOXO1,NOXO1
CCDC78,CCDC78
IQCK,IQCK
PAQR4,PAQR4
ZC3H18,ZC3H18
GPR139,GPR139
CDYL2,CDYL2
ANKS3,ANKS3
UBALD1,UBALD1
SEPTIN12,SEPTIN12
TMEM219,TMEM219
EARS2,EARS2
SNX20,SNX20
TMEM170A,TMEM170A
METTL23,METTL23
HSF5,HSF5
MSI2,MSI2
SLC38A10,SLC38A10
CANT1,CANT1
USH1G,USH1G
CD300LB,CD300LB
KIF19,KIF19
ZPBP2,ZPBP2
CYB5D1,CYB5D1
OVCA2,OVCA2
USP43,USP43
CHCT1,CHCT1
SPATA32,SPATA32
HEXIM2,HEXIM2
LSM12,LSM12
CCDC43,CCDC43
CNTD1,CNTD1
TMEM132E,TMEM132E
WFIKKN2,WFIKKN2
B4GALNT2,B4GALNT2
SPACA3,SPACA3
RSKR,RSKR
SEZ6,SEZ6
ANKRD13B,ANKRD13B
SLC43A2,SLC43A2
CYB5D2,CYB5D2
BACC1,BACC1
ZFP3,ZFP3
GGT6,GGT6
SPNS2,SPNS2
MRPL10,MRPL10
WDR81,WDR81
TBC1D16,TBC1D16
AFMID,AFMID
GJD3,GJD3
KRT222,KRT222
KRT40,KRT40
ZSWIM7,ZSWIM7
MIEF2,MIEF2
SLC5A10,SLC5A10
MIMS1,MIMS1
LOXHD1,LOXHD1
INO80C,INO80C
TTC39C,TTC39C
DIPK1C,DIPK1C
CLDND2,CLDND2
CEACAM20,CEACAM20
RAVER1,RAVER1
COX6B2,COX6B2
CALR3,CALR3
ACER1,ACER1
MICOS13,MICOS13
TRAPPC5,TRAPPC5
PCP2,PCP2
OSCAR,OSCAR
SWSAP1,SWSAP1
CCDC159,CCDC159
JOSD2,JOSD2
IZUMO2,IZUMO2
CPT1C,CPT1C
ALDH16A1,ALDH16A1
NTN5,NTN5
NLRP5,NLRP5
ZNF787,ZFP787
WDR88,WDR88
TMIGD2,TMIGD2
EID2B,EID2B
TIPE1,TNFAIP8L1
IRGQ,IRGQ
ZNF428,ZFP428
JSRP1,JSRP1
MOB3A,MOB3A
MFSD12,MFSD12
GIPC3,GIPC3
NDUFA11,NDUFA11
MISP,MISP
LRRC25,LRRC25
OR1I1,OR1I2
WTIP,WTIP
NR2C2AP,NR2C2AP
HSPB6,HSPB6
TEKTL1,TEKTL1
CYP4F22,CYP4F39
RINL,RINL
FBXO27,FBXO27
PLK5,PLK5
C19ORF47,C1H19ORF47
ANKLE1,ANKLE1
C2CD4C,C2CD4C
GABPB2,GABPB2
TCHHL1,TCHHL1
RPTN,RPTN
CCDC163,CCDC163
SHE,SHE
KDF1,KDF1
CCSAP,CCSAP
LRRC38,LRRC38
PUSL1,PUSL1
B3GALT6,B3GALT6
DNAI3,DNAI3
KLHDC9,KLHDC9
AXDND1,AXDND1
MAB21L3,MAB21L3
IFFO2,IFFO2
SLC44A3,SLC44A3
ATXN7L2,ATXN7L2
CFAP276,CFAP276
LYPLAL1,LYPLAL1
ATP6V1G3,ATP6V1G3
ASB17,ASB17
TYW3,TYW3
ERICH3,ERICH3
LRRIQ3,LRRIQ3
TPRG1L,TPRG1L
PRXL2B,PRXL2B
MYOM3,MYOM3
DMBX1,DMBX1
OR10J5,OR10J5
TMCO2,TMCO2
TCEANC2,TCEANC2
PODN,PODN
LRRC39,LRRC39
GJB4,GJB4
HMGB4,HMGB4
RNF19B,RNF19B
A3GALT2,A3GALT2
DCST2,DCST2
DNAH14,DNAH14
ZNF648,ZFP648
C1ORF122,C5H1ORF122
OSCP1,OSCP1
C1ORF216,C5H1ORF216
KLHDC7A,KLHDC7A
VWA5B1,VWA5B1
UBXN10,UBXN10
C1ORF87,C5H1ORF87
ARL8A,ARL8A
SYT2,SYT2
GOLT1A,GOLT1A
UHMK1,UHMK1
FCRLB,FCRLB
WDR64,WDR64
FSAF1,FSAF1
LIX1L,LIX1L
SPATA17,SPATA17
EDARADD,EDARADD
KLF17,KLF17
TMEM125,NEWGENE_1311937
TSACC,TSACC
IQGAP3,IQGAP3
NAXE,NAXE
ARHGEF19,ARHGEF19
MRPL55,MRPL55
DRAM2,DRAM2
CIMAP3,CIMAP3
C1ORF162,C2H1ORF162
OR6P1,OR6P1
OR10Z1,OR10Z1
TATDN3,TATDN3
BHLHE23,BHLHE23
NKAIN4,NKAIN4
VSTM2L,VSTM2L
SNHG11,SNHG11
FITM2,FITM2
WFDC12,WFDC12
SPATA25,SPATA25
OCSTAMP,OCSTAMP
TSHZ2,TSHZ2
CIMIP1,CIMIP1
ZNF831,ZFP831
TBC1D20,TBC1D20
C20ORF141,LOC129351010
PROKR2,PROKR2
SLX4IP,SLX4IP
CSTL1,CSTL1
DUSP15,DUSP15
BPIFB6,BPIFB6
BPIFA3,BPIFA3
C20ORF144,C3H20ORF144
CHMP4B,CHMP4B
PIGU,PIGU
SACK1C,SACK1C
C22ORF39,C11H22ORF39
TANGO2,TANGO2
SGSM1,SGSM1
EMID1,EMID1
ANKRD54,ANKRD54
PPP1R21,PPP1R21
TMEM150A,TMEM150A
NUP35,NUP35
XIRP2,XIRP2
TYW5,TYW5
NMS,NMS
LYG1,LYG1
MITD1,MITD1
DIS3L2,DIS3L2
CMPK2,CMPK2
MBOAT2,MBOAT2
TAF8,TAF8
TMEM18,TMEM18
FBLN7,FBLN7
NEU4,NEU4
RBM45,RBM45
CIMIP6,CIMIP6
BBS5,BBS5
CFAP210,CFAP210
ACMSD,ACMSD
ICA1L,ICA1L
FAM168B,FAM168B
OR9A4,OR9A4
CIB4,CIB4
RFTN2,RFTN2
CLHC1,CLHC1
PLEKHH2,PLEKHH2
AP1S3,AP1S3
C2ORF76,C13H2ORF76
SGPP2,SGPP2
ACVR1C,ACVR1C
OSR1,OSR1
TTC32,TTC32
UBR3,UBR3
KCTD18,KCTD18
FLACC1,FLACC1
ZNF513,ZFP513
SPATA3,SPATA3
LYPD6,LYPD6
LYPD6B,LYPD6B
GALM,GALM
TMEM198,TMEM198
ZFAND2B,ZFAND2B
TMEM178A,TMEM178A
CPO,CPO
MDH1B,MDH1B
CIMIP5,CIMIP5
SLC66A3,SLC66A3
TMEM182,TMEM182
FBXO36,FBXO36
MTERF4,MTERF4
CCDC148,CCDC148
M1AP,M1AP
CPNE4,CPNE4
MIX23,MIX23
KCNH8,KCNH8
DNAJC19,DNAJC19
OTOL1,OTOL1
FAM3D,FAM3D
ZPLD1,ZPLD1
LYZL4,LYZL4
KLHL40,KLHL40
TRIM71,TRIM71
FAM131A,FAM131A
CD200R1,CD200R1
CHCHD4,CHCHD4
ZDHHC19,ZDHHC19
CRYBG3,CRYBG3
DCBLD2,DCBLD2
LRRC15,LRRC15
FAM43A,FAM43A
TPRA1,TPRA1
TMEM42,TMEM42
UROC1,UROC1
ERICH6,ERICH6
NUDT16,NUDT16
COL6A6,COL6A6
TMEM207,TMEM207
METTL6,METTL6
TAMM41,TAMM41
IL17RE,IL17RE
RTP1,RTP1
IQCF1,IQCF1
GLYCTK,GLYCTK
PPM1M,PPM1M
C3ORF49,C15H3ORF49
SNTN,SNTN
SYNPR,SYNPR
LSMEM2,LSMEM2
H1-8,H1F8
OCIAD2,OCIAD2
SCLT1,SCLT1
C4ORF33,C2H4ORF33
SMIM43,SMIM43
PABPC4L,PABPC4L
ADAD1,ADAD1
ZFP42,ZFP42
LIN54,LIN54
SPATA18,SPATA18
FAM241A,FAM241A
TMPRSS11B,TMPRSS11B
GNPDA2,GNPDA2
SPATA4,SPATA4
CPEB2,CPEB2
EVC2,EVC2
ARL9,ARL9
AASDH,AASDH
PDCL2,PDCL2
C4ORF36,C14H4ORF36
PACRGL,PACRGL
TRAM1L1,TRAM1L1
OTOP1,OTOP1
ENPP6,ENPP6
SETD9,SETD9-PS1
IL31RA,IL31RA
EMB,EMB
C5ORF47,C10H5ORF47
PPARGC1B,PPARGC1B
MROH2B,MROH2B
EGFLAM,EGFLAM
PRRC1,PRRC1
NADK2,NADK2
CAPSL,CAPSL
JMY,JMY
C5ORF58,C10H5ORF58
ZNF474,ZFP474
CCDC127,CCDC127
UBE2QL1,UBE2QL1
CFAP90,CFAP90
ATPSCKMT,ATPSCKMT
CMBL,CMBL
POU5F2,POU5F2
DNAJC21,DNAJC21
AFAP1L1,AFAP1L1
GRPEL2,GRPEL2
TMEM171,TMEM171
TMEM174,TMEM174
LSM11,LSM11
POC5,POC5
GPR151,GPR151
STARD4,STARD4
WDR36,WDR36
NUDCD2,NUDCD2
UBLCP1,UBLCP1
ACOT12,ACOT12
SOWAHA,SOWAHA
SHROOM1,SHROOM1
C5ORF24,C17H5ORF24
ADAT2,ADAT2
RIPPLY2,RIPPLY2
IRAK1BP1,IRAK1BP1
CLVS2,CLVS2
TAAR9,TAAR9
TAAR1,TAAR1
STXBP5,STXBP5
NCOA7,NCOA7
HINT3,HINT3
PACRG,PACRG
B3GAT2,B3GAT2
SDHAF4,SDHAF4
CD109,CD109
PM20D2,PM20D2
SRSF12,SRSF12
C6ORF141,C9H6ORF141
HUS1B,HUS1B
TRIM40,TRIM40
MUCL3,MUCL3
TMEM270,TMEM270
TRIM50,TRIM50
OR9A2,OR9A2
SOFU1,SOFU1
TMEM139,TMEM139
NOBOX,NOBOX
OR2A14,OR2A14
OR6B1,OR6B1
ZNF786,ZFP786
COL26A1,COL26A1
PRSS37,PRSS37
KLF14,KLF14
SSMEM1,SSMEM1
C7ORF57,C14H7ORF57
SVOPL,SVOPL
MTPN,MTPN
LRGUK,LRGUK
ASB10,ASB10
PRSS58,PRSS58
MPLKIP,MPLKIP
SSC4D,SSC4D
SPMIP4,SPMIP4
ASZ1,ASZ1
CLDN23,CLDN23
ZNF572,ZNF572
GOT1L1,GOT1L1
CIBAR1,CIBAR1
VPS37A,VPS37A
NDUFAF6,NDUFAF6
TMEM68,TMEM68
ABRA,ABRA
LYPD2,LYPD2
NKX2-6,NKX2-6
TMEM71,TMEM71
SGCZ,SGCZ
ADHFE1,ADHFE1
UBXN2B,UBXN2B
GPAT4,GPAT4
UNC5D,UNC5D
LETM2,LETM2
RALYL,RALYL
HGSNAT,HGSNAT
RNF183,RNF183
NACC2,NACC2
PIERCE1,PIERCE1
CARNMT1,CARNMT1
C9ORF57,C1H9ORF57
C9ORF85,C1H9ORF85
CFAP95,CFAP95
DIPK1B,DIPK1B
PTRH1,PTRH1
PIP5KL1,PIP5KL1
PTPDC1,PTPDC1
ARID3C,ARID3C
RPP25L,RPP25L
SPATA31G1,SPATA31G1
OR13C8,OR13C25
OR1L8,OR1L8
OR1N2,OR1N2
OR1N1,OR1N1B
SLITRK4,SLITRK4
BEND2,BEND2
PASD1,PASD1
DGKK,DGKK
DNAAF6,DNAAF6
PWWP3B,PWWP3B
FAM199X,FAM199X
AMER1,AMER1
APOOL,APOOL
HDX,HDX
FUNDC1,FUNDC1
ADGRG4,ADGRG4
PTCHD1,PTCHD1
OTUD6A,OTUD6A
UPRT,UPRT
MAGEE2,MAGEE2
MAGEB16,MAGEB16
FOXR2,FOXR2
PNCK,PNCK
ZFP92,ZFP92
ACTRT1,ACTRT1
GPR119,GPR119
DOCK11,DOCK11
SPIN4,SPIN4
ASB11,ASB11
ASB5,ASB5
ASB6,ASB6
ASB7,ASB7
ASB8,ASB8
ASB9,ASB9
MYL6B,MYL6BL1
ZNF358,ZFP358
MYO3B,MYO3B
RNF32,RNF32
S100A16,S100A16
CHODL,CHODL
SELENOM,SELENOM
NEK7,NEK7
ZFP28,ZFP28
ACTRT2,ACTRT2
GATA5,GATA5
SLC32A1,SLC32A1
C20ORF96,C3H20ORF96
BPIFA2,BPIFA2
ZBTB46,ZBTB46
WFDC3,WFDC3
GCNT7,GCNT7
NOL4L,NOL4L
CBLN4,CBLN4
CTCFL,CTCFL1
TRIM69,TRIM69
MROH8,MROH8
SAMD10,SAMD10
CCM2L,CCM2L
BRI3BP,BRI3BP
MTCL2,MTCL2
TLDC2,TLDC2
RIMS4,RIMS4
ANKRD60,ANKRD60
SUN5,SUN5
MACROD2,MACROD2
DYNLL2,DYNLL2
TMEM37,TMEM37
UBE2F,UBE2F
ADAMTS14,ADAMTS14
NRSN1,NRSN1
SMCR8,SMCR8
RPL10L,RPL10L
TRPM6,TRPM6
KRT72,KRT72
SRXN1,SRXN1
ROMO1,ROMO1
NEURL2,NEURL2
ZSWIM3,ZSWIM3
WFDC10A,WFDC10A
BANF2,BANF2
NANP,NANP
SCP2D1,SCP2D1
ISM1,ISM1
C20ORF173,C3H20ORF173
RIPOR3,RIPOR3
CST11,CST11
DEFB129,DEFB23
ZNF280B,ZFP280B
SIRPA,SIRPA
PABPC5,PABPC5
SREK1,SREK1
RBBP8NL,RBBP8NL
CNBD2,CNBD2
STK35,STK35
R3HDML,R3HDML
MIB2,MIB2
DUSP19,DUSP19
SLC34A3,SLC34A3
ASB15,ASB15
ASB14,ASB14
ASB12,ASB12
SAMD8,SAMD8
TRUB1,TRUB1
MPP7,MPP7
FRMPD2,FRMPD2
VTI1A,VTI1A
DYDC1,DYDC1
HECTD2,HECTD2
FGFBP3,FGFBP3
SPMIP5,SPMIP5
CACUL1,CACUL1
SYT9,SYT9
LDLRAD3,LDLRAD3
PSMA8,PSMA8
OR52B4,OR52B4
OR52I2,OR52I2
OR51E1,OR51E1
XRRA1,XRRA1
UBQLNL,UBQLNL
MUC15,MUC15
FREY1,FREY1
FAM76B,FAM76B
SESN3,SESN3
PIWIL4,PIWIL4
ARHGAP42,ARHGAP42
KBTBD3,KBTBD3
CWF19L2,CWF19L2
POGLUT3,POGLUT3
LAYN,LAYN
TTC36,TTC36
SPINDOC,SPINDOC
PLEKHA7,PLEKHA7
SPTY2D1,SPTY2D1
TMEM86A,TMEM86A
DNHD1,DNHD1
PRICKLE1,PRICKLE1
AMDHD1,AMDHD1
BCDIN3D,BCDIN3D
GLIPR1L2,GLIPR1L2
RFLNA,RFLNA
ZNF664,ZFP664
ETFRF1,ETFRF1
CPNE8,CPNE8
TMEM120B,TMEM120B
CFAP251,CFAP251
GLT1D1,GLT1D1
BEST3,BEST3
E2F7,E2F7
KRT80,KRT80
CFAP54,CFAP54
KICS2,KICS2
C12ORF60,C4H12ORF60
FBXL14,FBXL14
RAD9B,RAD9B
PHETA1,PHETA1
FAM216B,FAM216B
LACC1,LACC1
B3GLCT,B3GLCT
RDH12,RDH12
GSC,GSC
SERPINA12,SERPINA12
PRIMA1,PRIMA1
MIPOL1,MIPOL1
PPP1R36,PPP1R36
SLC38A6,SLC38A6
ARMH4,ARMH4
ABHD12B,ABHD12B
PTGR2,PTGR2
FAM161B,FAM161B
LRRC74A,LRRC74A
ISM2,ISM2
CEP128,CEP128
MDP1,MDP1
TTC7B,TTC7B
LRFN5,LRFN5
TERB2,TERB2
LYSMD4,LYSMD4
FAM81A,FAM81A
PIERCE2,PIERCE2
PGPEP1L,PGPEP1L
C15ORF61,C8H15ORF61
HAPLN3,HAPLN3
MESP2,MESP2
TMCO5A,TMCO5A
NRG4,NRG4
TTBK2,TTBK2
CDAN1,CDAN1
SLC38A8,SLC38A8
VWA3A,VWA3A
OTOA,OTOA
ZFP90,ZFP90
CARMIL2,CARMIL2
KCTD19,KCTD19
CMTM4,CMTM4
CMTM2,CMTM2B
BEAN1,BEAN1
TEKT5,TEKT5
RNF151,RNF151
PRR35,PRR35
FBXL16,FBXL16
FIMP1,FIMP1
GSG1L,GSG1L
IL34,IL34
ZNF597,ZFP597
BICDL2,BICDL2
TMED6,TMED6
ZNF688,ZFP688
PRSS36,PRSS36
C16ORF89,C10H16ORF89
DNAAF8,DNAAF8
MGAT5B,MGAT5B
TOM1L2,TOM1L2
TEPSIN,TEPSIN
QTGAL,QTGAL
RBFOX3,RBFOX3
CD300LF,CD300LF
DNAH2,DNAH2
RTN4RL1,RTN4RL1
EFCAB3,EFCAB3
SLC47A2,SLC47A2
CFAP52,CFAP52
CCDC42,CCDC42
PIK3R6,PIK3R6
ODF4,ODF4
PGBDF,PGBDF
SLFN13,SLFN9
UNC45B,UNC45B
CD300LG,CD300LG
KIF18B,KIF18B
RUNDC1,RUNDC1
EME1,EME1
VMA12,VMA12
PROCA1,PROCA1
DHRS13,DHRS13
KCTD11,KCTD11
NOTUM,NOTUM
TMC8,TMC8
WIPF2,WIPF2
SCGB1C1,SCGB1C1
STARD6,STARD6
ARK2N,ARK2N
CCBE1,CCBE1
CBLN2,CBLN2
DSG4,DSG4
ANKRD29,ANKRD29
APCDD1,APCDD1
VSIG10L,VSIG10L
C19ORF84,C1H19ORF84
SPACA6,SPACA6
SMIM17,SMIM17
C19ORF18,C1H19ORF18
PPM1N,PPM1N
KLC3,KLC3
IGSF23,IGSF23
LYPD4,LYPD4
TMEM190,TMEM190
HIPK4,HIPK4
TMC4,TMC4
ZNF524,ZFP524
ZNF784,ZFP865
SPC24,SPC24
KASH5,KASH5
DACT3,DACT3
SIX5,SIX5
NLRP4,NLRP4
ZNF582,ZFP582-PS1
ZNF583,ZFP583
TSLIG3C,FAM98C
CAPN12,CAPN12
DPY19L3,DPY19L3
TTC9B,TTC9B
TICAM1,TICAM1
ZNRF4,ZNRF4
FAM187B,FAM187B
CILP2,CILP2
PROSER3,PROSER3
CDC42EP5,CDC42EP5
C19ORF25,C7H19ORF25
ATP8B3,ATP8B3
DIRAS1,DIRAS1
ZNF569,ZFP74
SYT6,SYT6
C1ORF74,C13H1ORF74
CREB3L4,CREB3L4
CIROZ,CIROZ
BROX,BROX
SAMD11,SAMD11
SAMD13,SAMD13
C1ORF52,C2H1ORF52
PHF13,PHF13
CIART,CIART
TLCD4,TLCD4
UBE2U,UBE2U
SLC35F3,SLC35F3
HJV,HJV
ANKRD35,ANKRD35
FAM163A,FAM163A
B3GALNT2,B3GALNT2
SLC60A1,SLC60A1
PM20D1,PM20D1
SLC30A7,SLC30A7
CCDC27,CCDC27
KNCN,KNCN
MOB3C,MOB3C
GLIS1,GLIS1
LELP1,LELP1
RC3H1,RC3H1
DCDC2B,DCDC2B
ZNF362,ZFP362
